200.0, 0.0, 0.0; -29.6875589607, 2.86674874422, 3.29658110597, 1.89524184084, -16.9442644718, -5.44439822564, -20.1526617848, -13.3147321542, -1.05420947601, 1.67537405919, -6.98063127593, -2.97948687478, 0.267611834674, -1.26639315892, 8.81347086859, 8.33730282455, 1.67407697991, -7.92615995945
175.516512378, 95.8851077208, 0.5; -29.5085522023, -15.7607942705, 3.04340710786, 1.71178034097, -17.0639218347, -6.44438610783, -22.2050869069, 95.3555393427, -2.91021228377, -0.244773693812, -8.52853459192, -3.61998856574, 0.997454698382, -4.9635959669, 8.30006894231, 8.16396542607, 1.04008636112, -8.66024789783
108.060461174, 168.294196962, 1.0; 38.4034690371, 38.1088675848, -69.3788569033, 1.12995366836, 6.28898711809, 13.2385567726, -50.3176225129, -79.3077655922, 103.60854627, 2.40753322701, 3.4094328922, -2.35681684413, -8.77908540678, 7.41472600456, 2.24116364344, 6.96015913359, 8.46350835962, -5.3839597804
14.1474403335, 199.498997321, 1.5; 41.1991746685, 39.6150050225, -71.3206714621, 1.28236430087, 6.6863887928, 13.7147092263, -50.732507473, -80.1134528735, 4.24075801664, 2.61422496659, 3.43981677231, -2.27265097172, -8.90739806777, 7.51273421097, 2.28079102194, 7.05870652096, 8.88525125922, -5.11804756425
-83.2293673094, 181.859485365, 2.0; -8.04605389781, 2.17926222566, 2.13627059336, 17.3787495579, -2.1923176813, -7.55148066413, 9.70277448637, 6.26162706765, 4.51061137128, -1.48268587391, -2.21069642547, 14.193737553, -9.12109955387, -7.74572505266, 6.89450116778, -4.57870079065, 7.89695451121, -82.824772423
-160.228723109, 119.694428821, 2.5; -8.14265908607, 3.04382982256, 2.13710093876, 7.3808448835, -2.20057020124, -7.30445161959, 9.75588263769, 6.30895677796, 4.5199724381, -1.45256821704, -1.87314517756, 14.4580366841, -8.90540446872, -7.73883500951, 6.90357381529, -4.57128603251, 7.90624833075, -184.3724465
-197.99849932, 28.224001612, 3.0; 2.66673659575, 2.66673659575, 2.66673659575, 7.52516478916, -1.0120802038, -7.21735544084, 10.2932242525, 8.31918444663, 4.53582744098, -1.40647591129, -1.13272279607, 6.28337891651, -6.89234478009, -7.66419250249, 6.98613220121, -4.49491249788, 7.98934096196, -184.437380984
-187.291337458, -70.1566455379, 3.5; 12.9782713871, 2.62855999927, 2.62855999927, 7.41738819718, -0.997661582085, -7.11411933229, 10.1458279668, 8.20004291632, 4.47083776751, -1.386412221, -1.11670128013, 6.19092053411, -6.79600049727, -7.55456070902, 6.88607087593, -4.43064334245, 7.87492053719, -170.790506931
-130.728724173, -151.360499062, 4.0; 0.719065617847, 0.452400428692, 0.742654968185, 11.1220105075, 1.35092887888, -1.41747766661, 2.88514399573, 1.24177838492, 97.6756669072, -2.25638781967, -2.22262054485, -2.44669576684, -0.971901950739, -2.50696070704, 1.43511580249, -2.30757408652, -1.115530063, -2.5007537168
-42.1591598862, -195.506023533, 4.5; 1.02914119349, 1.03414012865, 1.02914119349, 1.30147152469, 1.41022703887, -1.29084055723, 2.05090887562, 1.32282489629, -1.29162257888, -2.22729504573, -2.2054815461, -2.23637052788, -0.905896946381, -2.51933341299, 1.48465185967, -2.27801374712, -1.06204211776, -2.48210255988
56.7324370926, -191.784854933, 5.0; 0.266712166298, 1.14297590317, 11.5966101334, 1.24010947009, 1.41844123427, -1.43329421737, 1.8298776451, 1.16454195435, -1.29363246209, 7.82431098285, -2.33725413096, -2.32863652921, -0.989953510809, -2.51433591761, 1.47947753407, -2.29355306199, -1.18923689627, -2.60509861823
141.733954858, -141.108065114, 5.5; -18.7968357485, -14.3005822262, 6.77116378193, 1.47665848618, -17.1177041356, -6.83117957173, -14.9039615607, -16.7765954412, -3.29153455066, -0.524191050861, -9.04805637095, -4.18651894811, -1.10723590087, -1.01548699665, 7.8989084673, 8.0752838622, 0.88861436217, -8.80378178112
