200.0, 0.0; -672.924012055, -1011.11346435, -1118.24284184, -1227.07494263, -1154.18706937, 38.3956004173, -1162.93218481, -1168.12971687, -1072.07891692, -1092.09648914, -13.1051622744, -38.1771344575, -46.2819264997, -42.0211627496, 72.8539549243, -50.3392055742, 0.190792163914, -35.0623387514, 11.2629486292, 105.067263674
165.067122982, 112.928494679; -774.652130041, -1165.22954289, -1204.47916494, -1557.1185352, -730.256293545, 154.132382875, -1656.05609701, -800.326388794, -863.537462723, -877.719133969, -37.4833240754, -51.4284239579, 33.1001868484, 69.8686445825, -81.934957171, -68.8170016208, 19.4255503143, 42.195531441, -62.3579476761, -280.286705541
72.4715508953, 186.407817193; -493.536306648, -98.1072814295, -217.809667823, -240.026377281, 77.59425056, -742.544748941, 989.836888782, -105.862473381, 316.751957017, -302.315601408, -39.3094425682, -63.928244177, -42.2603149749, -151.483022042, 10.6383636048, -55.7749176642, -63.7802026524, 244.37985258, 186.035071636, -667.972074702
-45.4404189386, 194.769526176; 82.1542100919, 3.02536743413, -162.13101295, 176.870896849, 258.200198162, -523.707825336, 821.888649395, -364.042600309, 262.713945685, -100.642293356, -40.7593481287, 10.1587536271, -206.832643588, -121.797455951, -238.693561105, 25.4372719516, 475.0690043, 59.2809618845, 21.7163437434, -409.522607784
-147.478743108, 135.09263611; 333.538914557, 9.09413466752, 40.4373475144, 309.052773398, -32.6435034688, 173.388656331, 68.3149675392, 61.3960264036, 155.900370123, -158.192348557, 67.9087076573, 62.4908095204, -156.967744438, 164.679816377, 261.240062731, -7.14623240252, -118.909730992, 180.828933543, -120.565246667, 64.3484271676
-197.99849932, 28.224001612; 345.768748644, 69.2040703017, 332.918349532, 332.604175732, -56.2309114906, 378.922074161, 340.281375964, 121.219228102, 184.091531829, 66.1059665062, 50.6976136624, 5.38488897607, -71.5637711253, 332.898504735, 353.142737413, 99.4497329708, 28.9211045898, 73.6269575569, 19.2706215125, 12.2157854013
-179.351683267, -88.504088659; 526.032206265, 1065.49910112, 467.78804629, 1949.7079066, -798.151460111, -121.827775765, 1820.91582611, 466.199017513, 660.391128257, -63.6390498022, 175.436045421, 101.254271956, 2205.05116819, 2995.12819079, 1868.894952, 113.616788093, 12.5045913897, 1914.1078606, -0.780035962363, 1677.62796102
-98.0521642681, -174.315154483; -151.355244614, 149.918265484, -20.5677787722, 38.888044144, -432.980514861, -61.0079488776, -126.980275643, -213.596951486, -570.683610963, -96.821473543, 76.6039778045, 87.3597796274, 193.824398564, 47.7724217693, 31.3753783742, 3.05842738174, 56.8254121209, 104.580519481, -296.443946613, -90.6779688144
17.4997966879, -199.232921767; -1481.64203155, -3270.73345346, -5406.11034826, -2425.57662877, -3964.34617505, -2940.75191269, -5361.8598279, -3172.47152793, -904.084356435, -5492.71423627, -10.9994483608, -31.4672201843, 85.491718238, -186.198580203, 588.024786647, 3.53613539139, 146.111850087, -344.992956938, -833.77582453, -711.83363284
126.938575189, -154.552897511; -2433.01084703, -4325.90049179, -5706.24612811, -2252.70498434, -5808.03370626, -2732.11745311, -4844.12098075, -4676.20606696, -1019.798949, -5449.32424394, 128.6883079, -116.896860503, -58.8459284204, -200.164827846, 202.054399386, 330.871804175, 203.505268169, -190.559474524, -561.505247836, -452.05332098
192.03405733, -55.8830996398; -545.546230483, -833.508454592, -756.664966247, -1060.6503313, -958.912869062, 234.087050195, -921.892660677, -958.786204402, -876.585077342, -1001.74374472, -13.1068580524, -38.2211220887, -45.1990927254, 305.531073168, 409.768642782, -49.933269637, 32.3495199593, -3.04585308267, 264.620915912, 353.186347259
